n,cc,y,r,rat,f,d
Ula,IDN,2020,variant,"Indonesian wholesale e-commerce marketplace providing inventory sourcing and working capital to small warung/shop owners, a direct Udaan/Huimin-style adaptation.",b2b_marketplace__small_retailer_fmcg,ula.app
Jumbotail,IND,2015,variant,Full-stack B2B marketplace for food and grocery distribution to small/independent retailers (kirana stores) in India with embedded logistics and credit.,b2b_marketplace__small_retailer_fmcg,jumbotail.com
ElasticRun,IND,2016,variant,"ElasticRun is an Indian technology-driven distribution platform that connects FMCG brands with small and underserved rural/semi-urban retailers via app-based ordering and managed logistics, operating in the same Indian kirana-digitization space as Udaan and Jumbotail.",b2b_marketplace__small_retailer_fmcg,elastic.run
Mercari,JPN,2013,variant,"Mercari is Japan's leading mobile-first C2C secondhand marketplace with photo-centric listings, in-app payments, and shipping — a direct OfferUp analog for Japan.",classifieds__mobile_c2c_secondhand,mercari.com
Wallapop,ESP,2013,variant,"Wallapop is a hyper-local, mobile-first C2C secondhand goods marketplace in Spain, replicating the OfferUp model with location-based discovery.",classifieds__mobile_c2c_secondhand,wallapop.com
letgo,TUR,2015,variant,"Letgo is a mobile-first C2C marketplace for used goods originating in Turkey, directly mirroring OfferUp's ultra-low-friction photo-to-listing model.",classifieds__mobile_c2c_secondhand,letgo.com
Carousell Group,SGP,2012,variant,"Carousell Group operates mobile-first C2C secondhand marketplaces across Southeast Asia, directly replicating the OfferUp mechanism in multiple Asian geographies.",classifieds__mobile_c2c_secondhand,carousell.com
Horizon Robotics,CHN,2015,variant,"Horizon Robotics designs proprietary automotive-grade Journey SoCs bundled with ADAS/AD perception software and sells integrated platforms to Chinese OEMs for series production, directly replicating Mobileye's model for China.",av_robotics__adas_chip_platform,horizon.cc
Black Sesame Technologies,CHN,2016,variant,"Black Sesame Technologies develops its own automotive-grade ADAS/AD SoCs (Huashan series) with integrated perception software, selling the platform to Chinese OEMs in a clear Mobileye-for-China pattern.",av_robotics__adas_chip_platform,bst.ai
Weipinhui,CHN,2008,variant,"Former anchor, demoted in Phase 3b re-election. Original rationale: Vipshop is the canonical originator of the flash-sale branded discount e-commerce model in China, offering time-limited sales of well-known brands at deep discounts.",ecommerce_horizontal__flash_sale_branded_discount,vipshop.com
Global Data Solutions,CHN,2000,variant,"GDS designs, builds, and operates colocation data centers in China, serving hyperscale and enterprise tenants under long-term contracts — a direct Equinix-for-China model.",cloud_infra__colocation_datacenter,gds-services.com
Princeton Digital Group,SGP,2018,variant,"Princeton Digital Group invests in, develops, and operates data center infrastructure across Asia, leasing capacity to hyperscale cloud and enterprise customers — Equinix-for-Asia-Pacific.",cloud_infra__colocation_datacenter,princetondg.com
DayOne,SGP,2022,variant,"DayOne develops and operates hyperscale digital infrastructure in Southeast Asia, leasing data center capacity to cloud, AI, and enterprise customers — Equinix-for-Singapore/SEA.",cloud_infra__colocation_datacenter,dayonedc.com
Zalando,DEU,2008,variant,"Rocket Internet clone of Zappos for Europe, now Europe's largest multi-brand online fashion retailer with the same free shipping/returns playbook.",ecom_vertical__multi_brand_fashion_retail,zalando.com
Dafiti,BRA,2010,variant,"Rocket Internet clone of Zappos for Brazil/Latin America, offering multi-brand fashion retail with the same logistics-heavy, free-returns model.",ecom_vertical__multi_brand_fashion_retail,dafiti.com.br
Global Fashion Group,LUX,2014,variant,Rocket Internet umbrella operating Zappos-like multi-brand fashion e-commerce platforms across 27+ emerging markets.,ecom_vertical__multi_brand_fashion_retail,global-fashion-group.com
ABOUT YOU,DEU,2014,variant,Major European multi-brand fashion retailer offering personalized shopping across thousands of third-party brands with free shipping and returns.,ecom_vertical__multi_brand_fashion_retail,aboutyou.com
VIPKID,CHN,2013,variant,China-based platform replicating the iTutorGroup model by connecting Chinese students with North American tutors for live 1-on-1 English tutoring sessions via proprietary video technology.,edtech__live_tutoring_platform,vipkid.com
GoStudent,AUT,2016,variant,"Austria-based live tutoring marketplace that matches K-12 students with vetted tutors for 1-on-1 video sessions, handling scheduling, payments, and quality assurance across European markets.",edtech__live_tutoring_platform,gostudent.org
Vedantu,IND,2011,variant,"India-based live online tutoring platform connecting students with tutors for 1-on-1 and small-group interactive sessions for academic and competitive exam prep, with platform-managed scheduling and payments.",edtech__live_tutoring_platform,vedantu.com
Clara,BRA,2020,variant,Clara is a Brex-like corporate card and end-to-end spend management platform built for Latin American businesses.,fintech_infra__corporate_card_spend_mgmt,clara.com
Volopay,SGP,2019,variant,"Volopay issues corporate cards with automated payables and spend controls for businesses in the APAC region, a clear Brex-for-Singapore/SEA model.",fintech_infra__corporate_card_spend_mgmt,volopay.com
Payhawk,GBR,2018,variant,"Payhawk offers global corporate cards with expense tracking, automated payables, and real-time financial controls for European businesses.",fintech_infra__corporate_card_spend_mgmt,payhawk.com
Spenmo,SGP,2019,variant,"Spenmo offers corporate cards and expense management for finance teams in Southeast Asia, replicating the Brex model for the SGP/SEA geography.",fintech_infra__corporate_card_spend_mgmt,spenmo.com
Zai Lab,CHN,2014,variant,"Zai Lab's core model is in-licensing transformative medicines from Western biotech/pharma for clinical development and commercialization in China, a textbook geo-variant of SymBio for the Chinese market.",healthtech_biotech__in_license_develop_local_market,zailaboratory.com
JW Therapeutics,CHN,2016,variant,"JW Therapeutics was a joint venture formed specifically to in-license Juno/BMS CAR-T technology and commercialize it in China, fitting the in-license-and-localize playbook precisely.",healthtech_biotech__in_license_develop_local_market,jwtherapeutics.com
Ninja Van,SGP,2014,variant,Known example; tech-enabled e-commerce express parcel delivery network operating its own sorting and delivery infrastructure across Southeast Asia.,logistics_supply_chain__ecommerce_parcel_delivery,ninjavan.co
J&T Express,IDN,2015,variant,"Known example; J&T Express built a full-stack e-commerce parcel delivery network with owned sorting hubs and last-mile fleet, originating in Indonesia.",logistics_supply_chain__ecommerce_parcel_delivery,jet.co.id
Xpressbees,IND,2015,variant,"Known example; Indian e-commerce express delivery company operating its own sorting infrastructure and delivery fleet, directly competing with Delhivery.",logistics_supply_chain__ecommerce_parcel_delivery,xpressbees.com
Northvolt,SWE,2016,variant,Northvolt is explicitly replicating the CATL gigafactory playbook in Sweden/Europe to supply European OEMs like BMW and Volkswagen with locally produced battery cells.,cleantech__battery_gigafactory,northvolt.com
Verkor,FRA,2020,variant,"Verkor is building a gigafactory in Dunkirk, France to manufacture low-carbon battery cells for European automotive OEMs including Renault, directly replicating the CATL model for France.",cleantech__battery_gigafactory,verkor.com
Britishvolt,GBR,2019,variant,"Britishvolt aimed to build the UK's first gigafactory for automotive battery cells to provide domestic supply sovereignty, a direct geo-replication of the CATL playbook for the UK (though it entered administration).",cleantech__battery_gigafactory,britishvolt.com
Parloa,DEU,2018,variant,"Parloa is the known European (Germany) adaptation of Ada's AI-first contact center automation model, building an AI agent management platform to automate customer interactions for enterprises.",ai_ml_vertical__ai_customer_support_chatbot,parloa.com
Decagon,USA,2023,variant,"Decagon provides a conversational AI platform purpose-built for automating customer support across multiple channels, directly replicating Ada's mechanism in the US market.",ai_ml_vertical__ai_customer_support_chatbot,decagon.ai
Sierra,USA,2023,variant,"Sierra builds and manages conversational AI agents specifically for customer experiences, functioning as a direct US competitor to Ada with the same AI-first support resolution model.",ai_ml_vertical__ai_customer_support_chatbot,sierra.ai
Nuvemshop,BRA,2010,variant,"Nuvemshop is the leading Shopify-equivalent in Brazil, providing SMBs with self-serve tools to set up, manage, and promote their own online stores.",ecommerce_horizontal__storefront_saas,nuvemshop.com.br
Facily,BRA,2018,variant,"Facily is a Brazilian social commerce marketplace focused on low-ticket items with group-buying mechanics, replicating the Pinduoduo model for Brazil.",ecommerce_horizontal__social_group_buying,faci.ly
DealShare,IND,2018,variant,DealShare is an Indian social group-buying platform targeting price-sensitive consumers in lower-tier cities with WhatsApp-driven sharing and bulk discounts.,ecommerce_horizontal__social_group_buying,dealshare.in
CityMall,IND,2019,variant,"CityMall is an Indian social commerce platform targeting Tier-2/3 cities and villages, using community leaders and group-buying mechanics to reach price-sensitive, new-to-internet users.",ecommerce_horizontal__social_group_buying,citymall.live
Cider,HKG,2020,variant,"Hong Kong-based DTC fast fashion brand explicitly targeting overseas Gen-Z consumers with trend-driven, affordable apparel sourced from Chinese supply chains, directly replicating Shein's mechanism.",dtc_retail__ultra_fast_fashion_dtc,shopcider.com
Virgio,IND,2022,variant,"India-based global D2C fast fashion brand offering trendy and affordable styles with a digital-native model, representing a Shein-like approach adapted from/for the Indian market.",dtc_retail__ultra_fast_fashion_dtc,virgio.com
Patpat,USA,2014,edge_case,"China-sourced DTC platform shipping children's and family apparel globally at ultra-low prices via app-first distribution, replicating Shein's supply-chain mechanism but in the mom/kids fashion niche rather than Gen-Z trend fashion.",dtc_retail__ultra_fast_fashion_dtc,patpat.com
Home24,DEU,2009,variant,"Rocket Internet clone of Wayfair for the European (primarily German) market, offering a large online catalog of home and living products.",ecom_vertical__home_furnishing_ecommerce,home24.de
MadeiraMadeira,BRA,2009,variant,"Brazil's leading online marketplace specializing in home products, independently replicating the Wayfair model for the Brazilian market.",ecom_vertical__home_furnishing_ecommerce,madeiramadeira.com.br
SSENSE,CAN,2003,variant,"SSENSE is a Canada-based online-first multi-brand luxury fashion retailer with editorial curation, directly replicating the YNAP model for North America.",ecom_vertical__luxury_fashion_ecommerce,ssense.com
Farfetch China,CHN,2020,variant,"Farfetch China operates a luxury fashion marketplace connecting global luxury brands to Chinese affluent consumers, a clear geo-variant of the YNAP mechanism.",ecom_vertical__luxury_fashion_ecommerce,farfetch.com
Kredivo Group,SGP,2015,variant,"Kredivo is an app-first digital credit platform in Indonesia offering instant credit lines and installment loans to underbanked consumers using alternative data, closely matching the Lexin playbook in Southeast Asia.",bnpl_consumer_credit__app_first_installment_credit,kredivocorp.com
Belvo,MEX,2019,variant,"Belvo is the open finance API platform for Latin America, replicating Plaid's bank-account-linking and data connectivity model for Mexico and the region.",fintech_infra__open_banking_data_api,belvo.com
Mono,NGA,2020,variant,"Mono provides open finance APIs connecting apps to bank accounts across Africa (Nigeria), directly replicating Plaid's mechanism for that geography.",fintech_infra__open_banking_data_api,mono.co
TrueLayer,GBR,2016,variant,"TrueLayer is a UK/European open banking API platform enabling apps to connect to bank accounts for payments and financial data, the Plaid equivalent for PSD2 markets.",fintech_infra__open_banking_data_api,truelayer.com
Thought Machine,GBR,2014,variant,"Thought Machine's Vault is a cloud-native core banking engine sold to banks, directly competing with Mambu from the UK.",fintech_infra__cloud_core_banking,thoughtmachine.net
Zeta,USA,2015,variant,"Zeta provides a cloud-native core banking platform with card issuance, lending, and ledger capabilities to banks, replicating the Mambu model from the US.",fintech_infra__cloud_core_banking,zeta.tech
Dock,BRA,2014,edge_case,"Dock integrates card issuing with core banking services via API for banks and fintechs in Brazil, serving as a Mambu-like core banking infrastructure player in LatAm.",fintech_infra__cloud_core_banking,dock.tech
Qonto,FRA,2016,variant,"Qonto is a purpose-built digital business bank for SMEs and freelancers in France and across Europe, offering business accounts, team cards, expense management, and accounting integrations.",fintech_neobanking__smb_neobank,qonto.com
Mercury,USA,2017,variant,"Mercury provides digital business banking for US startups and tech companies with instant account opening, team card controls, treasury management, and accounting integrations.",fintech_neobanking__smb_neobank,mercury.com
DocPlanner,POL,2011,variant,"Poland-born two-sided marketplace replicating the Zocdoc model across Europe, letting patients discover, compare, and book in-person doctor appointments while offering practice management SaaS to providers.",healthtech__doctor_booking_marketplace,docplanner.com
Doctolib,FRA,2013,variant,"France-based platform where patients search for and book in-person doctor appointments with real-time availability, a direct Zocdoc geo-adaptation for France and Germany.",healthtech__doctor_booking_marketplace,doctolib.fr
Babylon,GBR,2013,variant,"Babylon is the UK geo-adaptation of the telemedicine playbook, combining AI-powered triage with live doctor video consultations and NHS/B2G contracts.",healthtech__telemedicine_virtual_consultation,babylonhealth.com
Kry,SWE,2015,variant,"Kry is the Swedish/Nordic geo-adaptation, enabling patients to consult licensed doctors via video within the public healthcare reimbursement system.",healthtech__telemedicine_virtual_consultation,kry.se
Dada Group,CHN,2014,variant,"Dada Group operates JD Daojia (JDDJ), an on-demand retail marketplace that connects consumers with local supermarkets and uses crowdsourced shoppers to pick and deliver from existing retail store shelves — the Instacart model for China.",quick_commerce__grocery_personal_shopping_marketplace,imdada.cn
Rappi,COL,2015,edge_case,"Rappi operates a multi-category on-demand delivery platform in Latin America where a core use case is grocery personal-shopping from partner supermarkets, with couriers picking items from retail store shelves in Instacart fashion.",quick_commerce__grocery_personal_shopping_marketplace,rappi.com.mx
Glovo,ESP,2015,edge_case,"Glovo partners with major grocery chains (e.g., Carrefour, Dia) across Europe and MENA, sending couriers to pick items from retail store shelves for same-day delivery, replicating the Instacart mechanism within a broader multi-category platform.",quick_commerce__grocery_personal_shopping_marketplace,glovoapp.com
NetEase Cloud Music,CHN,2013,variant,"NetEase Cloud Music is China's second-largest on-demand music streaming platform with a freemium model, directly replicating Spotify's playbook for the Chinese market.",media_entertainment__music_streaming,163.com
Tencent Music Entertainment,CHN,2016,variant,"Tencent Music Entertainment operates QQ Music, Kugou, and Kuwo — China's dominant freemium on-demand music streaming apps licensing from major and independent labels.",media_entertainment__music_streaming,tencentmusic.com
Gaana,IND,2011,variant,"Gaana is India's leading freemium music streaming app offering on-demand Bollywood, regional, and international music via licensed catalogs.",media_entertainment__music_streaming,gaana.com
NewsBreak,USA,2015,variant,NewsBreak is a US-market AI-powered local and national news aggregation app that replicates the Toutiao model with ML-personalized feeds.,media_entertainment__ai_news_aggregation,newsbreak.com
VerSe Innovation,IND,2007,variant,VerSe Innovation (Dailyhunt) is India's leading AI-driven news and content aggregation platform delivering personalized multilingual feeds from third-party publishers.,media_entertainment__ai_news_aggregation,verse.in
Glance,IND,2019,edge_case,"Glance uses AI to deliver personalized news and content feeds on smartphone lock screens in India, replicating the core ML-aggregation mechanism with a different distribution surface.",media_entertainment__ai_news_aggregation,glance.com
99acres.com,IND,2005,variant,99acres is India's prominent consumer-facing real estate classifieds portal aggregating buy/sell/rent listings from agents and owners.,proptech__property_listing_portal,99acres.com
Fang Holdings,CHN,1999,variant,Fang Holdings (SouFun) operates China's major real estate internet portal providing property listings and value-added services to consumers and agents.,proptech__property_listing_portal,soufun.com
Habi,COL,2019,variant,"Habi is the Opendoor for Colombia, using technology-driven pricing to make instant cash offers on homes and reselling them.",proptech__ibuyer,habi.co
Casavo,ITA,2017,edge_case,"Casavo is the Opendoor for Southern Europe (Italy/Spain), purchasing homes directly from sellers using algorithmic pricing and reselling them.",proptech__ibuyer,casavo.com
WeWork China,CHN,2017,variant,WeWork China is a direct geo subsidiary replicating the WeWork co-working model in China with shared workspace and community services.,proptech__coworking_flexible_workspace,wework.cn
Ucommune,CHN,2015,variant,"Ucommune is China's leading independent co-working space provider offering flexible office solutions to SMEs, directly replicating the WeWork playbook in China.",proptech__coworking_flexible_workspace,ucommune.com
Kr Space,CHN,2016,variant,"Kr Space is the largest co-working space company in China, master-leasing and fitting out design-forward flexible workspaces in the WeWork model.",proptech__coworking_flexible_workspace,krspace.cn
WeChat,CHN,2012,variant,"WhatsApp for China — started as a phone-number-based mobile messaging app and became the dominant communication layer, evolving into a super-app with payments and mini-programs.",social_community__mobile_messaging,wechat.com
Zalo,VNM,2011,variant,"WhatsApp for Vietnam — a mobile-first messaging app that is the dominant everyday communication tool in Vietnam with phone-number registration and contact import.",social_community__mobile_messaging,zalo.me
Telegram,ARE,2013,variant,"Cloud-based mobile messaging app registered via phone number offering 1:1 and group chat, achieving dominant communication status in several geographies (e.g., Iran, Russia, UAE).",social_community__mobile_messaging,telegram.org
ShareChat,IND,2015,variant,"Operates Moj, India's leading short-form video app launched after TikTok's ban, with an algorithmic feed and integrated creator tools — a clear 'Kuaishou for India.'",social_community__short_form_video,sharechat.com
VerSe Innovation,IND,2007,variant,"VerSe Innovation operates Josh, a prominent Indian short-form video app with algorithmic discovery, filling the TikTok void in India.",social_community__short_form_video,verse.in
Gousto,GBR,2012,variant,"Gousto is a UK-based meal kit subscription service delivering pre-portioned ingredients with recipes, a clear geographic adaptation of the HelloFresh playbook.",agritech_foodtech__meal_kit_subscription,gousto.co.uk
Choco,DEU,2018,variant,Choco is a known geo-variant (Germany/Europe) that directly replicates the Meicai model by digitizing the ordering process between restaurants and food suppliers.,agritech_foodtech__b2b_restaurant_supply_platform,choco.com
Jumbotail,IND,2015,edge_case,"Jumbotail is a full-stack B2B e-commerce marketplace digitizing food and grocery distribution to small retailers (kirana stores), replicating the core mechanism of aggregating demand from fragmented food businesses and connecting them with upstream suppliers via a digital platform with logistics, th",agritech_foodtech__b2b_restaurant_supply_platform,jumbotail.com
Enpal,DEU,2017,variant,"Enpal is the 'Sunrun for Germany,' leasing residential rooftop solar systems to homeowners at zero upfront cost under long-term contracts while retaining system ownership.",cleantech__residential_solar_leasing,enpal.de
Skydio,USA,2014,variant,"Skydio is the leading US-based autonomous drone manufacturer with proprietary AI-powered flight autonomy, selling hardware to enterprise and government customers—effectively 'DJI for the US' driven by domestic-supply imperatives.",av_robotics__integrated_autonomous_drone_platform,skydio.com
Quantum Systems,DEU,2015,variant,"Quantum Systems designs and manufactures AI-powered eVTOL drones for defense, security, and surveying in Germany, replicating the vertically integrated drone platform model for the European market.",av_robotics__integrated_autonomous_drone_platform,quantum-systems.com
Nscale,GBR,2024,variant,"Nscale replicates the CoreWeave model in the UK, providing a full-stack AI cloud platform with owned GPU infrastructure for enterprise-scale AI workloads.",ai_ml_platform__gpu_cloud_iaas,nscale.com
Helsing,DEU,2021,variant,"Helsing is a German defense-AI company building AI-powered autonomy software for drones and military platforms, serving European NATO defense ministries—a clear geo-locked replication of Shield AI's playbook.",ai_ml_vertical__defense_ai_platform,helsing.ai
Harmattan AI,FRA,2024,variant,"Harmattan AI is a French defense-first startup developing AI-powered autonomous systems and software for military applications, replicating the Shield AI model under France's sovereign defense procurement ecosystem.",ai_ml_vertical__defense_ai_platform,harmattan.ai
Qifu Technology,CHN,2016,variant,Qifu Technology (formerly 360 DigiTech) is a Chinese AI-powered credit tech platform that uses machine learning and big data to assess borrower creditworthiness and partners with financial institutions to facilitate lending decisions.,ai_ml_vertical__ai_lending_decisioning,qifu.tech
Venustech,CHN,1996,variant,"Venustech is a leading Chinese domestic vendor of network security products (firewalls, IDS/IPS, UTM) serving government and enterprise customers in China's sovereignty-driven market.",cybersecurity__enterprise_network_security_platform,venustech.com.cn
Qi An Xin,CHN,2014,variant,Qi An Xin is a major Chinese enterprise security vendor providing comprehensive network security products to government agencies and critical infrastructure operators in China's regulated domestic market.,cybersecurity__enterprise_network_security_platform,qianxin.com
Cato Networks,ISR,2015,variant,"Israeli SASE platform converging SD-WAN with cloud-native security (SWG, CASB, ZTNA, FWaaS) on a global PoP backbone, directly replicating the Zscaler model from Israel.",cybersecurity__cloud_delivered_sase_platform,catonetworks.com
Perimeter 81,ISR,2018,variant,"Israeli cloud-delivered Network-as-a-Service replacing legacy VPN and firewall stacks with ZTNA, SWG, and FWaaS for distributed workforces on a per-user subscription.",cybersecurity__cloud_delivered_sase_platform,perimeter81.com
Fiture,CHN,2019,variant,"Fiture sells a smart fitness mirror with an integrated display and subscription workout content in China, making it a clear geographic adaptation of the Peloton model.",dtc_retail__connected_fitness_hardware,fiture.com
Keep,CHN,2014,edge_case,"Keep (China) started as a fitness app but has expanded into selling connected fitness hardware (smart bike, treadmill with screens) paired with subscription workout content, replicating the Peloton hardware-plus-content mechanism in the Chinese market.",dtc_retail__connected_fitness_hardware,gotokeep.com
Yatsen Holding,CHN,2016,variant,"Yatsen (Perfect Diary) replicated the Glossier playbook in China, building a massive social-media community on Xiaohongshu and WeChat to drive DTC beauty sales with rapid, data-informed SKU iteration.",dtc_retail__digital_native_dtc_beauty,yatsenglobal.com
Aiven,FIN,2016,variant,"Aiven (Finland) offers a multi-product managed platform for open-source data infrastructure (Kafka, PostgreSQL, Redis, etc.), a clear geo variant.",cloud_infra__oss_data_infrastructure,aiven.io
PingCAP,USA,2015,variant,PingCAP develops the open-source distributed SQL database TiDB and monetizes via TiDB Cloud managed service.,cloud_infra__oss_data_infrastructure,pingcap.com
Hotmart,NLD,2011,variant,"Hotmart is a Brazil-originated open creator marketplace (incorporated in NL) where independent instructors sell digital courses and products via revenue share, replicating the Udemy model for Latin America.",edtech__open_course_marketplace,hotmart.com
Unacademy,IND,2015,edge_case,"Unacademy launched as an open platform in India where independent educators upload video lessons for self-directed learners, though it has since layered on live classes and subscriptions for test prep.",edtech__open_course_marketplace,unacademy.com
Qapita,SGP,2019,variant,"Qapita replicates Carta's cap table, ESOP administration, and equity liquidity platform for the Southeast Asian (Singapore-based) market.",fintech_infra__equity_cap_table_mgmt,qapita.com
Ledgy,CHE,2017,variant,"Ledgy is an equity management platform for private and listed companies, managing equity compensation, cap tables, and compliance — a direct Carta-like playbook executed from Switzerland.",fintech_infra__equity_cap_table_mgmt,ledgy.com
Unit,USA,2019,variant,"Unit is a US-based BaaS platform enabling tech companies to embed bank accounts, cards, and lending via API, operating under partner bank charters — a direct Solaris analogue for the US market.",fintech_infra__banking_as_a_service,unit.co
QI Tech,BRA,2018,variant,"QI Tech is a Brazilian BaaS platform providing APIs for businesses to offer financial products (credit, payments, digital accounts) under its own regulatory framework — Solaris for Brazil.",fintech_infra__banking_as_a_service,qitech.com.br
Copper,GBR,2018,variant,"UK-based institutional cryptocurrency custody firm providing secure infrastructure (including ClearLoop off-exchange settlement) for institutional digital-asset investors, a direct geographic variant of BitGo for the UK market.",crypto__institutional_custody,copper.co
Sygnum,CHE,2017,variant,"Swiss-regulated digital asset banking group offering institutional custody under a FINMA banking license, serving as the locally regulated custodian for institutional investors in Switzerland.",crypto__institutional_custody,sygnum.com
DingTalk,CHN,2015,variant,"Alibaba's all-in-one enterprise collaboration suite built around team chat for the China market where Slack is blocked—a textbook geographic variant.",enterprise_saas_horizontal__team_collaboration_platform,dingtalk.com
Lark,SGP,2016,variant,"ByteDance's enterprise collaboration suite (Lark/Feishu) centered on team messaging with integrated docs, video, and calendar for Asia-Pacific markets.",enterprise_saas_horizontal__team_collaboration_platform,larksuite.com
Wix,ISR,2006,variant,Wix replicates the Squarespace drag-and-drop website builder model from Israel with freemium self-serve signup and subscription hosting tiers.,enterprise_saas_horizontal__website_builder_saas,wix.com
Framer,NLD,2015,variant,"Framer is a Netherlands-based website design and publishing platform using visual editing and template-driven creation, replicating the Squarespace model for a European/global audience.",enterprise_saas_horizontal__website_builder_saas,framer.com
Acko,IND,2016,variant,"Acko is a licensed D2C general insurer in India selling auto, health, and other personal-lines policies directly via app/website with tech-driven underwriting.",insurtech__d2c_digital_insurer,acko.com
Digit Insurance,IND,2016,variant,"Digit Insurance is a licensed Indian general insurer offering personal-lines products (auto, home, travel) D2C through digital channels with simplified tech-driven processes.",insurtech__d2c_digital_insurer,godigit.com
PolicyBazaar,IND,2008,variant,"PolicyBazaar is the clear Indian adaptation of the eHealth model, operating as a multi-carrier insurance comparison and purchase platform for consumers in India.",insurtech__insurance_comparison_marketplace,policybazaar.com
Waterdrop,CHN,2016,variant,"Waterdrop operates an insurance marketplace in China that connects consumers with multiple insurance carriers for comparison and purchase, replicating the eHealth model for the Chinese market.",insurtech__insurance_comparison_marketplace,waterdrop-inc.com
Kitopi,ARE,2018,variant,"Kitopi is a managed cloud kitchen operator in the UAE that runs kitchens on behalf of restaurant brands for delivery, a known example of the playbook.",food_delivery_restaurant__cloud_kitchen,kitopi.com
MUNCHER,COL,2019,edge_case,"Muncher partners with restaurant brands to enable off-premise dining in Colombia, suggesting a managed cloud kitchen or kitchen-as-a-service model, though details are limited.",food_delivery_restaurant__cloud_kitchen,muncher.com.co
Douyu TV,CHN,2013,variant,Douyu TV is a leading Chinese game-focused live-streaming platform replicating Twitch's two-sided streamer-viewer marketplace with virtual gifting and subscriptions.,gaming__live_streaming_platform,douyu.com
Huya.com,CHN,2016,variant,"Huya is a Chinese interactive broadcast platform centered on game live streaming with real-time chat, virtual gifts, and streamer monetization, directly mirroring Twitch's model.",gaming__live_streaming_platform,huya.com
Sea,SGP,2009,variant,"Sea's Garena division replicated Tencent's playbook for Southeast Asia—licensing hit titles (League of Legends, later developing Free Fire), building the region's dominant gaming platform, then expanding into e-commerce (Shopee) and digital payments (SeaMoney).",gaming__regional_gaming_ecosystem,sea.com
VNG,VNM,2004,variant,"VNG became Vietnam's dominant gaming gateway by licensing and localizing Chinese/Korean MMOs, operating local servers and payment systems, and expanding into messaging (Zalo) and adjacent internet services.",gaming__regional_gaming_ecosystem,vng.com.vn
XING,DEU,2003,variant,"XING is the German-language professional networking platform replicating LinkedIn's model of profiles, connections, and job discovery for the DACH market.",hr_workforce__professional_networking_platform,xing.com
Maimai,CHN,2013,variant,"Maimai is China's leading professional social-networking platform with career profiles, real-name connection graphs, content feeds, and job features — a direct LinkedIn replicator for the Chinese market.",hr_workforce__professional_networking_platform,maimai.cn
Moka,CHN,2015,variant,"Moka is a SaaS-based recruitment platform in China offering employers end-to-end hiring workflow optimization, directly replicating the cloud ATS model for the Chinese market.",hr_workforce__cloud_ats_recruiting,mokahr.com
Wealthsimple,CAN,2014,variant,"Wealthsimple launched as Canada's leading robo-advisor, replicating Betterment's algorithm-driven diversified ETF portfolio management with AUM-based fees for Canadian retail investors.",fintech_neobanking__robo_advisory,wealthsimple.com
Scalable Capital,DEU,2014,edge_case,"Scalable Capital originated as Germany's Betterment equivalent, offering algorithm-driven automated portfolio management with ETFs and an AUM-based fee for European retail investors.",fintech_neobanking__robo_advisory,scalable.capital
Mercado Pago,BRA,2004,variant,"Mercado Pago is the direct geographic replication of PayPal's model, built as the embedded payment platform for MercadoLibre's marketplace in Latin America.",fintech_payments__online_payment_platform,mercadopago.com.br
MercadoLibre,ARG,1999,edge_case,"MercadoLibre is the integrated parent entity encompassing both the dominant Latin American e-commerce marketplace and Mercado Pago, its PayPal-equivalent payment arm.",fintech_payments__online_payment_platform,mercadolibre.com
Zetwerk,IND,2018,variant,"Zetwerk is India's leading B2B manufacturing marketplace that connects buyers with a network of manufacturers for custom parts, replicating the Xometry model in the Indian market.",b2b_marketplace__custom_manufacturing,zetwerk.com
Laserhub,DEU,2017,variant,"Laserhub is a German industrial procurement platform for custom-made metal parts that provides instant quoting and routes orders to a network of manufacturers, a clear Xometry-for-Germany.",b2b_marketplace__custom_manufacturing,laserhub.com
Forto,DEU,2016,variant,"Forto is a German digital freight forwarder offering ocean and rail shipment management with end-to-end visibility, directly replicating the Flexport model for European shippers.",logistics_supply_chain__digital_freight_forwarding,forto.com
Nowports,MEX,2018,variant,"Nowports is a Latin American digital freight forwarder automating international supply chain processes, a clear Flexport-for-Mexico/LatAm variant.",logistics_supply_chain__digital_freight_forwarding,nowports.com
Rappi,COL,2015,variant,"Known example; Latin America's leading multi-category on-demand delivery super-app connecting consumers with restaurants, groceries, pharmacies, and couriers.",quick_commerce__multi_category_on_demand_delivery,rappi.com.mx
Swiggy,IND,2014,variant,"Known example; India's multi-category on-demand delivery marketplace for food, grocery, and essentials via gig-economy riders.",quick_commerce__multi_category_on_demand_delivery,swiggy.com
Isar Aerospace,DEU,2018,variant,"Isar Aerospace is a venture-backed German startup building the Spectrum launch vehicle for dedicated small/medium satellite launches, replicating Rocket Lab's model for European sovereign launch access.",space_aerospace__dedicated_smallsat_launch,isaraerospace.com
Tianbing Technology,CHN,2015,variant,"Tianbing Technology (Space Pioneer) is a Chinese venture-backed startup developing the Tianlong series of small/medium launch vehicles, replicating the Rocket Lab model for China's domestic launch market.",space_aerospace__dedicated_smallsat_launch,spacepioneer.cc
Rumble,CAN,2013,variant,"Rumble is an open video-hosting platform with creator uploads, ad-supported revenue sharing, and recommendation/search, competing directly with YouTube in North America.",media_entertainment__ugc_video_platform,rumble.com
